epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8081,0.62133,5.957,1.08343,0.71549,0.72025,0.75523,0.66433,0.45016,2.255,0.93583,0.00015,0.00015,0.00015
2,22.6444,0.53587,2.5575,1.01099,0.8428,0.822,0.94341,0.83837,0.50442,1.08096,0.98029,0.00027931,0.00027931,0.00027931
3,31.4475,0.53023,1.4848,1.01282,0.75065,0.86375,0.92309,0.83009,0.51354,0.95164,0.94811,0.00037694,0.00037694,0.00037694
4,37.4204,0.5725,1.15903,1.02133,0.77669,0.92245,0.96589,0.7952,0.648,1.03451,1.08754,0.00044289,0.00044289,0.00044289
5,45.7102,0.53952,0.89117,1.00841,0.83592,0.88849,0.90038,0.73914,0.641,1.29539,1.07377,0.00047716,0.00047716,0.00047716
6,55.6115,0.53462,0.85225,0.97073,0.71338,0.76772,0.82648,0.71563,0.62537,1.09671,1.03258,0.00047975,0.00047975,0.00047975
7,61.7257,0.49293,0.66234,0.95407,0.75852,0.91105,0.9218,0.78405,0.68514,0.88935,1.06454,0.000406,0.000406,0.000406
8,68.7971,0.49958,0.6213,0.96821,0.86434,0.92154,0.9388,0.82068,0.56763,0.61228,0.96104,0.000307,0.000307,0.000307
9,78.7373,0.47828,0.51754,0.92557,0.94381,0.95972,0.97879,0.88765,0.46849,0.43476,0.92886,0.000208,0.000208,0.000208
10,84.756,0.41094,0.45756,0.91549,0.97003,0.9881,0.98351,0.90703,0.4431,0.32281,0.93336,0.000109,0.000109,0.000109
